project,owner,status,countries,type,lat,lng,route,url,capacity1,capacity_unit1
Medgaz Gas Pipeline,"Sonatrach, 51.00%, Naturgy Energy Group, 49.00%",operating,"Algeria, Spain",Gas,,,"32.9361,3.2516:34.1087281,2.0971467:35.3968053,0.1388036:35.3033015,-1.3902997:36.8330583,-2.4761491",https://www.gem.wiki/Medgaz_Gas_Pipeline,"132,524.00",BOE/d
Medgaz Gas Pipeline Expansion,"Sonatrach, 51.00%, Naturgy Energy Group, 49.00%",construction,"Algeria, Spain",Gas,,,Capacity expansion only,https://www.gem.wiki/Medgaz_Gas_Pipeline,"41,413.75",BOE/d
Rocade East-West Gas Pipeline,Société Algérienne de Gestion du Réseau de Transport du Gaz (GRTG),operating,Algeria,Gas,,,"35.429030,7.152264:35.212171,-0.625020",https://www.gem.wiki/Rocade_East-West_Gas_Pipeline,,
Tidikelt-Tamenrasset Gas Pipeline,Société Algérienne de Gestion du Réseau de Transport du Gaz (GRTG),operating,Algeria,Gas,,,"25.456563,2.01098:25.410943,2.065706:25.393197,2.133061:25.309503,2.423529:25.296817,2.492287:25.251136,2.663481:25.207978,2.809417:25.194011,2.865546:25.122885,3.006571:25.03519,3.083748:24.977964,3.130055:24.941071,3.152506:24.878709,3.184781:24.811221,3.2367:24.779375,3.277394:24.713745,3.359483:24.634688,3.453499:24.618105,3.499805:24.563239,3.578386:24.503241,3.680822:24.45088,3.788871:24.38316,3.920774:24.30901,4.086355:24.294943,4.129855:24.288548,4.171952:24.257208,4.24948:24.245693,4.298593:24.221381,4.356126:24.176584,4.458562:24.140735,4.52311:24.074131,4.645191:24.015184,4.70974:23.956209,4.774288:23.94595,4.799546:23.911319,4.826208:23.732888,4.962321:23.686635,4.979159:23.581222,5.019853:23.461564,5.078789:23.402339,5.133515:23.315384,5.205781:23.216122,5.312426:23.174848,5.376975:23.125819,5.448539:23.107751,5.506072:23.0871,5.546766:23.04966,5.639379:22.99671,5.809169",https://www.gem.wiki/Tidikelt-Tamenrasset_Gas_Pipeline,,
Ilizi-Djanet Gas Pipeline,Société Algérienne de Gestion du Réseau de Transport du Gaz (GRTG),operating,Algeria,Gas,,,"26.474467,8.482108:24.551080,9.495597",https://www.gem.wiki/Ilizi-Djanet_Gas_Pipeline,,
Hassi Messaoud-El Oued gas pipeline,Société Algérienne de Gestion du Réseau de Transport du Gaz (GRTG),proposed,Algeria,Gas,,,"30.982303,5.745800:33.101543,6.084534:33.358046,6.849926",https://www.gem.wiki/Hassi_Messaoud-El_Oued_gas_pipeline,,
El Oued -Taleb El Arbi gas pipeline,Société Algérienne de Gestion du Réseau de Transport du Gaz (GRTG),proposed,Algeria,Gas,,,"33.368489,6.856820:33.559386,6.988211:33.728865,7.514058",https://www.gem.wiki/El_Oued-Taleb_El_Arbi_Gas_Pipeline,,
Angola LNG Gas Pipeline System,"Sonangol, 100.00%",operating,Angola,Gas,,,"-6.11957,12.33596:-6.46,12.14:-6.95,12.38:-7.07,12:-7.65,12.1;-7.07,12:-7.18,11.45;-6.46,12.14:-6.3,12:-6.2,11;-6.11957,12.33596:-5.61,11.7",https://www.gem.wiki/Angola_LNG_Gas_Pipeline_System,"129,292.50",BOE/d
East Kokongo-Malongo Oil Pipeline,"Chevron, 100.00%",operating,Angola,Oil,,,"-5.62,11.69:-5.389,12.206",https://www.gem.wiki/East_Kokongo-Malongo_Oil_Pipeline,,
Essungo-Quinfuquena Oil Pipeline,"Sonangol, 100.00%",operating,Angola,Oil,,,"-6.3,12.07:-6.247,12.349",https://www.gem.wiki/Essungo-Quinfuquena_Oil_Pipeline,,
Lombo-Essungo Oil Pipeline,"Sonangol, 100.00%",operating,Angola,Oil,,,"-6.95,12.38:-6.3,12.07",https://www.gem.wiki/Lombo-Essungo_Oil_Pipeline,,
Numbi-Malongo Oil Pipeline,"Chevron, 100.00%",operating,Angola,Oil,,,"-5.25,11.91:-5.389,12.206",https://www.gem.wiki/Numbi-Malongo_Oil_Pipeline,"50,000.00",BOE/d
South Nemba-East Kokongo Oil Pipeline,"Chevron, 100.00%",operating,Angola,Oil,,,"-5.45,11.65:-5.62,11.69",https://www.gem.wiki/South_Nemba-East_Kokongo_Oil_Pipeline,,
Tombua Landana-East Kokongo Oil Pipeline,"Chevron, 100.00%",operating,Angola,Oil,,,"-5.76,11.31:-5.62,11.69",https://www.gem.wiki/Tombua_Landana-East_Kokongo_Oil_Pipeline,"130,000.00",BOE/d
Angola-Zambia Oil Pipeline,"Sonangol, Baseli Balisel Resources",proposed,"Angola, Zambia",Oil,,,"-15.369,28.301:-14.670,27.905:-13.987,28.630:-13.389,28.696:-12.533,27.883:-12.125,26.323:-11.674,25.313:-11.545,24.368:-11.135,23.598:-11.394,22.170:-11.135,21.687:-11.717,19.929:-12.082,17.534:-13.069,14.414:-12.983,13.670:-12.318,13.535",https://www.gem.wiki/Angola-Zambia_Oil_Pipeline,"1,000,000.00",BOE/d
Gasoducto de la Costa,"Camuzzi Gas Pampeana, 100.00%",operating,Argentina,Gas,,,"-37.210354,-59.181640:-38.012336,-57.531408;-38.271300,-57.834784:-38.012336,-57.531408:-37.747602,-57.424170:-37.267111,-56.972211:-36.370218,-56.717305",https://www.gem.wiki/Gasoducto_de_la_Costa,"27,927.18",BOE/d
