project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
"Inner Mongolia Baotou Jiyu Iron and Steel Co., Ltd.",包头市吉宇钢铁有限责任公司,"Ren Junde (individual) 51%, Inner Mongolia Jiyu Holding (Group) Co., Ltd. 49%","Ren Junde (individual) 51%, Inner Mongolia Jiyu Holding (Group) Co., Ltd. 49%",private,Inner Mongolia,China,Eastern Asia,operating,1500,803.32,integrated_BF,"BF, BOF","https://www.gem.wiki/Inner_Mongolia_Baotou_Jiyu_Iron_and_Steel_Co.,_Ltd._plant",40.662,109.696243
"Inner Mongolia Desheng Metal Products Co., Ltd.",内蒙古德晟金属制品有限公司,"Inner Mongolia Desheng Industrial Group Co., Ltd. 57.14%, individual corporate shareholders 42.86%","Inner Mongolia Desheng Industrial Group Co., Ltd. 57.14%, individual corporate shareholders 42.86%",private,Inner Mongolia,China,Eastern Asia,operating,1095,975.04,integrated_BF,"BF, BOF","https://www.gem.wiki/Inner_Mongolia_Desheng_Metal_Products_Co.,_Ltd._steel_plant",39.867015,106.890377
"Baotou Da'an Iron and Steel Co., Ltd.",包头市大安钢铁有限责任公司,"Baotou Da'an Iron and Steel Co., Ltd. 100%: Liu Jindong 61.83%, Jiang Jiahui 38.17%","Baotou Da'an Iron and Steel Co., Ltd. 100%: Liu Jindong 61.83%, Jiang Jiahui 38.17%",private,Inner Mongolia,China,Eastern Asia,operating,1200,480.92,integrated_BF,"BF, BOF","https://www.gem.wiki/Baotou_Da%27an_Iron_and_Steel_Co.,_Ltd._plant",40.662343,109.698333
"Inner Mongolia Yaxin Longshun Special Steel Co., Ltd.",内蒙古亚新隆顺特钢有限公司,"Inner Mongolia Baotou Jiyu Iron and Steel Co. , Ltd. 100%: Lin Yiwu 60%, Li Jingzhong 40%","Inner Mongolia Baotou Jiyu Iron and Steel Co. , Ltd. 100%: Lin Yiwu 60%, Li Jingzhong 40%",private,Inner Mongolia,China,Eastern Asia,operating,2000,748.04,integrated_BF,"BF, BOF","https://www.gem.wiki/Inner_Mongolia_Yaxin_Longshun_Special_Steel_Co.,_Ltd._plant",40.689778,110.214707
"Jiangsu Shagang Group Co., Ltd.",江苏沙钢集团有限公司,"Shen Wenrong (individual) 38.16%, Hengde International Co., Ltd. 37.63%, other shareholders 24.21%","Shen Wenrong (individual) 29.32%, Zhangjiagang Bonded Zone Xinghengde Trade Co., Ltd. 29.10%, Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co., Ltd. 17.67%, other shareholders 23.91%",private,Jiangsu,China,Eastern Asia,operating,15000,10000,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Jiangsu_Shagang_Group_Co.,_Ltd._plant",31.983146,120.638992
"Jiangsu Shagang Group Huaigang Special Steel Co., Ltd.",江苏沙钢集团淮钢特钢股份有限公司,"Jiangsu Shagang Group Co., Ltd. 17%, Jiangsu Shagang Co., Ltd. 15.45%, other shareholders 67.55%","Jiangsu Shagang Holding Co., Ltd. 63.79%, Jiangyin Wande Trade Co., Ltd. 15.45%, other shareholders 20.76%",mixture,Jiangsu,China,Eastern Asia,operating,3200,1057.24,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Jiangsu_Shagang_Group_Huaigang_Special_Steel_Co.,_Ltd._plant",33.566039,118.988442
"Nanjing Iron and Steel Group Co., Ltd.",南京钢铁集团有限公司,"Nanjing Municipal People's Government State-owned Assets Supervision and Administration Commission 49%, Nanjing Iron and Steel Group Co., Ltd. Trade Union Committee 18.4%, other individual shareholders 32.6%","Nanjing Iron & Steel Venture Investment Co., Ltd. 51%, Nanjing Xingong Investment Group Co., Ltd. 49%",mixture,Jiangsu,China,Eastern Asia,operating,3000,5567.7,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Nanjing_Iron_and_Steel_Group_Co.,_Ltd._plant",32.190776,118.750214
"Nanjing Iron & Steel Co., Ltd.",南京钢铁股份有限公司,"Fosun Holdings 17.19%, Nanjing Iron and Steel Group Co., Ltd. 16.19%, other shareholders 66.62%","Nanjing Nangang Iron and Steel United Co., Ltd. 40.48%, other A-shares 59.52%",mixture,Jiangsu,China,Eastern Asia,operating,10000,9808.1,integrated_BF,"BF, BOF","https://www.gem.wiki/Nanjing_Iron_%26_Steel_Co.,_Ltd._plant",32.200797,118.746315
"Jiangyin Xingcheng Special Steel Works Co., Ltd.",江阴兴澄特种钢铁有限公司,"Yan Link Steel Co., Ltd. 67.66%, other shareholders 32.33%","Citic Pacific Special Steel Group Co., Ltd. 100%",private,Jiangsu,China,Eastern Asia,operating,6900,8500,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Jiangyin_Xingcheng_Special_Steel_Works_Co.,_Ltd._plant",31.950191,120.328449
"Jiangsu Yonggang Group Co., Ltd.",江苏永钢集团有限公司,"Zhangjiagang City Yongrun Investment Development Co., Ltd. 39.7%, Wu Huifang (individual) 21.9%, Jiangsu Shagang Group Co., Ltd. 15.79%, other shareholders 22.61%","Zhangjiagang City Yongrun Investment Development Co., Ltd. 39.7%, Jiangsu Shagang Group Co., Ltd. 15.79%, other shareholders 44.51%",private,Jiangsu,China,Eastern Asia,operating,5000,3547.44,integrated_BF,"BF, BOF","https://www.gem.wiki/Jiangsu_Yonggang_Group_Co.,_Ltd._steel_plant",31.855205,120.730505
