project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
"Xinjiang Kunyu Iron and Steel Co., Ltd.",新疆昆玉钢铁有限公司,"Hong Kong Wing Tai Holdings Limited 23.1701%, other private shareholders 76.8299%","Shiheng Special Steel Holding Group Co., Ltd. 100%",private,Xinjiang,China,Eastern Asia,operating,1500,1500,integrated_BF,"BF, BOF","https://www.gem.wiki/Xinjiang_Kunyu_Iron_and_Steel_Co.,_Ltd._plant",44.404189,84.966753
"Xinjiang Yili Iron and Steel Co., Ltd.",新疆伊犁钢铁有限公司,"China Baowu Iron and Steel Group Co., Ltd. 11.74%, Xinjiang Investment and Development (Group) Co., Ltd. 2.07%, other state-owned enterprise shareholders 6.19%, Yili Kazakh Autonomous Prefecture Caitong State-owned Assets Management Co., Ltd. 2.875%, other private shareholders 77.12%","Baosteel Group Xinjiang Bayi Iron and Steel Co., Ltd. 20%, Yili State-owned Assets Investment and Operation Co., Ltd. 2.88%, other private shareholders 77.12%",mixture,Xinjiang,China,Eastern Asia,operating,2000,2200,integrated_BF,"BF, BOF","https://www.gem.wiki/Xinjiang_Yili_Iron_and_Steel_Co.,_Ltd._plant",43.526808,83.294323
"Xinjiang Xin'an Special Steel Co., Ltd.",新疆新安特钢有限公司,"Xinjiang Xin'an Special Steel Co., Ltd. 100%: Yang Weian 70%, Hong Zhongbin 30%","Xinjiang Xin'an Special Steel Co., Ltd. 100%: Yang Weian 70%, Hong Zhongbin 30%",private,Xinjiang,China,Eastern Asia,operating,1000,unknown,electric,EAF,"https://www.gem.wiki/Xinjiang_Xin%27an_Special_Steel_Co.,_Ltd._plant",44.27441,86.573346
"Xinjiang Da'an Special Steel Co., Ltd.",新疆大安特种钢有限公司,"Hami Da'an Investment Co., Ltd. 98.3333%, Xinjiang Production and Construction Corps Agricultural Construction 13th Division State-owned Assets Management Co., Ltd. 1.6667%","Hami Da'an Investment Co., Ltd. 98.3333%, Xinjiang Production and Construction Corps Agricultural Construction 13th Division State-owned Assets Management Co., Ltd. 1.6667%",mixture,Xinjiang,China,Eastern Asia,operating,1100,803.32,integrated_BF,"BF, BOF","https://www.gem.wiki/Xinjiang_Da%27an_Special_Steel_Co.,_Ltd._plant",42.700465,93.542466
"WISCO Group Kunming Steel Co., Ltd. Anning Branch",武钢集团昆明钢铁股份有限公司安宁分公司,"China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel Holdings Co., Ltd. 47.4117%, Yunnan Investment Holding Group Co., Ltd. 2.8804%, other state-owned enterprises shareholdings 1.2962%","Wuhan Iron and Steel Group Kunming Iron and Steel Co., Ltd. 100%",state-owned,Yunnan,China,Eastern Asia,operating,1725,1681,integrated_BF,"BF, BOF","https://www.gem.wiki/WISCO_Group_Kunming_Steel_Co.,_Ltd._Anning_Branch_plant",24.909695,102.48347
"WISCO Group Kunming Steel Co., Ltd. Honghe Iron and Steel Company",武钢集团昆明钢铁股份有限公司红河钢铁公司 （武钢集团昆钢红钢公司）,"China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel Holdings Co., Ltd. 47.4117%, Yunnan Investment Holding Group Co., Ltd. 2.8804%, other state-owned enterprises shareholdings 1.2962%","Wuhan Iron and Steel Group Kunming Iron and Steel Co., Ltd. 100%",state-owned,Yunnan,China,Eastern Asia,operating,2000,2000,integrated_BF,"BF, BOF","https://www.gem.wiki/WISCO_Group_Kunming_Steel_Co.,_Ltd._Honghe_Iron_and_Steel_Company_plant",23.470733,103.272784
"WISCO Group Kunming Steel Co., Ltd. Yuxi Xinxing Steel Company",武钢集团昆明钢铁股份有限公司玉溪新兴钢铁公司 （武钢集团昆钢玉钢公司）,"China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel Holdings Co., Ltd. 47.4117%, Yunnan Investment Holding Group Co., Ltd. 2.8804%, other state-owned enterprises shareholdings 1.2962%","Wuhan Iron and Steel Group Kunming Iron and Steel Co., Ltd. 100%",state-owned,Yunnan,China,Eastern Asia,operating,2000,2409.96,integrated_BF,"BF, BOF","https://www.gem.wiki/WISCO_Group_Kunming_Steel_Co.,_Ltd._Yuxi_Xinxing_Steel_Company_plant",24.249024,102.521747
"WISCO Group Kunming Steel Co., Ltd. New District Branch",武钢集团昆明钢铁股份有限公司新区分公司,"China Baowu Iron and Steel Group Co., Ltd. 48.4117%, Kunming Iron and Steel Holdings Co., Ltd. 47.4117%, Yunnan Investment Holding Group Co., Ltd. 2.8804%, other state-owned enterprises shareholdings 1.2962%","Wuhan Iron and Steel Group Kunming Iron and Steel Co., Ltd. 100%",state-owned,Yunnan,China,Eastern Asia,operating,1380,2158,integrated_BF,"BF, BOF","https://www.gem.wiki/WISCO_Group_Kunming_Steel_Co.,_Ltd._New_District_Branch_plant",24.953261,102.378082
"Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co., Ltd.",云南玉溪钢铁集团玉昆钢铁有限公司,"Yunnan Yuxi Iron and Steel Group Co., Ltd. 51%, Yunnan Yuxi Yukun Iron and Steel Group Co., Ltd. 26.27%, Yuxi Huixi Metal Casting Products Co., Ltd. 10.22%, Yuxi Fuyu Iron and Steel Co., Ltd. 6.88%, Hua Ningxian Shunchang Industry and Trade Co., Ltd. 3.75%, Yunnan Taibiao Jinggong Foundry Co., Ltd. 1.88%","Yunnan Yuxi Iron and Steel Group Co., Ltd. 51%, Yunnan Yuxi Yukun Iron and Steel Group Co., Ltd. 26.27%, Yuxi Huixi Metal Casting Products Co., Ltd. 10.22%, Yuxi Fuyu Iron and Steel Co., Ltd. 6.88%, Hua Ningxian Shunchang Industry and Trade Co., Ltd. 3.75%, Yunnan Taibiao Jinggong Foundry Co., Ltd. 1.88%",private,Yunnan,China,Eastern Asia,operating,4600,4100,integrated_BF,"BF, BOF","https://www.gem.wiki/Yunnan_Yuxi_Iron_and_Steel_Group_Yukun_Iron_and_Steel_Co.,_Ltd._plant",24.465884,102.543682
"Yunnan Desheng Iron and Steel Co., Ltd.",云南德胜钢铁有限公司,"Yunnan Desheng Logistics Co., Ltd. 42.0787%, Song De'an (individual) 29.5399%, Leshan Zhonglianya Industrial Co., Ltd. 28.3815%","Yunnan Desheng Logistics Co., Ltd. 42.0787%, Song De'an (individual) 29.5399%, Leshan Zhonglianya Industrial Co., Ltd. 28.3815%",private,Yunnan,China,Eastern Asia,operating,1500,1500,integrated_BF,"BF, BOF","https://www.gem.wiki/Yunnan_Desheng_Iron_and_Steel_Co.,_Ltd._plant",25.142516,102.077727
"Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co., Ltd.",云南曲靖钢铁集团呈钢钢铁有限公司,"Yunnan Qujing Shuangyou Iron and Steel Co., Ltd. (25%), Yunnan Qujing Yuegang Holding Group Co., Ltd. (25%), Yunnan Qujing Chenggang Iron and Steel (Group) Co., Ltd. (25%), Xuanwei Phoenix Iron and Steel Co., Ltd. (16% ), Qujing Julida Steel Co., Ltd. (8%), Qujing Development Investment Co., Ltd. (1%)","Yunnan Qujing Iron and Steel Group Co., Ltd.",private,Yunnan,China,Eastern Asia,operating,3000,1207.92,integrated_BF,"BF, BOF","https://www.gem.wiki/Yunnan_Qujing_Iron_and_Steel_Group_Chenggang_Iron_and_Steel_Co.,_Ltd._plant",25.45543,103.547242
"Yunnan Qujing Iron and Steel Group Fenghuang Steel Co., Ltd.",云南曲靖钢铁集团凤凰钢铁有限公司,"Yunnan Qujing Shuangyou Iron and Steel Co., Ltd. 25%, Yunnan Qujing Yuegang Holding Group Co., Ltd. 25%, Yunnan Qujing Chenggang Iron and Steel (Group) Co., Ltd. 25%, Xuanwei Phoenix Iron and Steel Co., Ltd. 16%, Qujing Julida Steel Co., Ltd. 8%, Qujing Development Investment Co., Ltd. 1%","Yunnan Qujing Iron and Steel Group Co., Ltd. 100%",private,Yunnan,China,Eastern Asia,operating,1200,unknown,electric,EAF,"https://www.gem.wiki/Yunnan_Qujing_Iron_and_Steel_Group_Fenghuang_Steel_Co.,_Ltd._plant",26.275342,104.168311
"Quzhou Yuanli Metal Products Co., Ltd.",衢州元立金属制品有限公司,"Zhejiang Yuanli Metal Product Group Co., Ltd. 100%","Zhejiang Yuanli Metal Product Group Co., Ltd. 100%",private,Zhejiang,China,Eastern Asia,operating,5000,4500,integrated_BF,"BF, BOF","https://www.gem.wiki/Quzhou_Yuanli_Metal_Products_Co.,_Ltd._steel_plant",28.893407,118.867125
"Ningbo Iron & Steel Co., Ltd.",宁波钢铁有限公司,"Hangzhou Iron and Steel Group Co., Ltd. 47.81%, other A-shares 52.19%","Hangzhou Iron & Steel Co., Ltd. 100%",mixture,Zhejiang,China,Eastern Asia,operating,4000,4316,integrated_BF,"BF, BOF","https://www.gem.wiki/Ningbo_Iron_%26_Steel_Co.,_Ltd._plant",29.918776,121.876423
"Huzhou Shengtelong Metal Products Co., Ltd.",湖州盛特隆金属制品有限公司,"Zhejiang Fugang Metal Product Co., Ltd. 100%： Zhu Huojiang 38.3723%, Wu Jianping 25.8669%, Zhu Bairong 25.2512%, Zhu Xingen 3.2979%, Zhu Xijiang 3.2979%, Yan Jianrong 3.2979%, Wu Huili 0.6157%","Zhejiang Fugang Metal Product Co., Ltd. 100%： Zhu Huojiang 38.3723%, Wu Jianping 25.8669%, Zhu Bairong 25.2512%, Zhu Xingen 3.2979%, Zhu Xijiang 3.2979%, Yan Jianrong 3.2979%, Wu Huili 0.6157%",private,Zhejiang,China,Eastern Asia,operating,2000,unknown,electric,EAF,"https://www.gem.wiki/Huzhou_Shengtelong_Metal_Products_Co.,_Ltd._steel_plant",30.835454,120.259538
"Guangxi Iron and Steel Group Co., Ltd.",广西钢铁集团有限公司,"Guangxi Liuzhou Iron and Steel Group Co., Ltd. 81.4806%, other shareholders 18.5194%","Guangxi Liuzhou Iron and Steel Group Co., Ltd. 60.7667%, Liuzhou Iron & Steel Co., Ltd. 27.7778%, Wugang Group Co., Ltd. 11.4556%",mixture,Guangxi,China,Eastern Asia,operating,10000,9467.6,integrated_BF,"BF, BOF","https://www.gem.wiki/Guangxi_Iron_and_Steel_Group_Co.,_Ltd._plant",21.580723,108.400896
"Hebei Mingbin Iron and Steel Co., Ltd.",河北铭镔钢铁有限公司,"Wealth Group Investment, Ltd. (Hong Kong) (percentage unknown)","Wu'an Hongji Investment Co., Ltd. 40.5%, Wu'an Longgang Economic and Trade Co., Ltd. 35.4%, Wu'an Wen'an Energy Management Service Co., Ltd. 24.1%",private,Hebei,China,Eastern Asia,operating,7370,unknown,unknown,unknown,"https://www.gem.wiki/Hebei_Mingbin_Iron_and_Steel_Co.,_Ltd._plant",36.638138,113.98526
"Shanxi Meijin Iron and Steel Co., Ltd.",山西美锦钢铁有限公司,"China New Energy Group, Ltd. 81.2605%, other shareholders 18.7395%","Shanxi Hongliang International Coking Co., Ltd. 98%, Shanxi Meijin Thermal Power Co., Ltd. 2%",private,Shanxi,China,Eastern Asia,operating,2000,1303.32,integrated_BF,"BF, BOF","https://www.gem.wiki/Shanxi_Meijin_Iron_and_Steel_Co.,_Ltd._plant",37.571354,112.229791
"Shanxi Jianbang Group Co., Ltd.",山西建邦集团有限公司,"Shanxi Jianbang Group Co., Ltd. 100%: Wu Xiaonian 56.9083%, Zhang Rui 43.0917%","Shanxi Jianbang Group Co., Ltd. 100%: Wu Xiaonian 56.9083%, Zhang Rui 43.0917%",private,Shanxi,China,Eastern Asia,operating,2600,2400,integrated_BF,"BF, BOF","https://www.gem.wiki/Shanxi_Jianbang_Group_Co.,_Ltd._steel_plant",35.668163,111.37916
"Yancheng Lianxin Iron and Steel Co., Ltd.",盐城市联鑫钢铁有限公司,"Huachuang Jiangsu Investment Co., Ltd. 80.4082%, other individual shareholders 19.5918%","Huachuang Jiangsu Investment Co., Ltd. 80.4082%, other individual shareholders 19.5918%",private,Jiangsu,China,Eastern Asia,operating,3200,2500,integrated_BF,"BF, BOF","https://www.gem.wiki/Yancheng_Lianxin_Iron_and_Steel_Co.,_Ltd._plant",33.211332,120.774892
"Jingjiang Special Steel Co., Ltd.",靖江特殊钢有限公司,"Citic Pacific Special Steel Investment Limited 75.05%, other shareholders 24.95%","Jiangyin Xingcheng Special Steel Works Co., Ltd. 100%",private,Jiangsu,China,Eastern Asia,operating,1300,1300,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Jingjiang_Special_Steel_Co.,_Ltd._plant",32.083229,120.470847
"Shanxi Antai Holding Group Co., Ltd.",山西安泰控股集团有限公司,"Shanxi Antai Holding Group Co., Ltd.: Li Anmin (90%), Li Meng (10%)","Shanxi Antai Holding Group Co., Ltd.: Li Anmin (90%), Li Meng (10%)",private,Shanxi,China,Eastern Asia,unknown,1000,unknown,unknown,unknown,,37.075432,111.980835
"Sichuan Chuanwei Group Co., Ltd.",四川省川威集团有限公司,"Sichuan Yishunda Investment Co., Ltd. 39.82369%, Sichuan Xinhong Material Trading Co., Ltd. 14.26841%, Wang Jin (individual) 15.7120%, other 30.1959%","Sichuan Xinhong Material Trading Co., Ltd. 32.1407%, Sichuan Dingsheng Material Trade Co., Ltd. 21.9514%, Wang Jin (individual) 15.7120%, other 30.1959%",private,Sichuan,China,Eastern Asia,unknown,1000,unknown,unknown,unknown,,29.731663,104.505664
"Hebei Zongheng Group Fengnan Iron & Steel Co., Ltd.",河北纵横集团丰南钢铁有限公司,"Shanghai Chetong Trading Co., Ltd. 45%, Zhejiang Hongcheng New Energy Co., Ltd. 40%, Hebei Zongheng Steel Group Co., Ltd. 15%","Shanghai Chetong Trading Co., Ltd. 45%, Zhejiang Hongcheng New Energy Co., Ltd. 40%, Hebei Zongheng Steel Group Co., Ltd. 15%",private,Hebei,China,Eastern Asia,operating,7700,7922.224,integrated_BF,"BF, BOF","https://www.gem.wiki/Hebei_Zongheng_Group_Fengnan_Iron_%26_Steel_Co.,_Ltd._plant",39.222566,118.094201
"Shandong IRON&STEEL Group Rizhao Co., Ltd.（Phase 1）",山东钢铁集团日照有限公司(一期）,"Shandong Iron and Steel GROUP Co., Ltd.100%","Shandong Iron and Steel Co., Ltd. 50.5981%, Shandong Iron and Steel Group Co., Ltd. 37.6880%, Huatai Securities (Shanghai) Asset Management Co., Ltd. 10.9259%, Rizhao Zezhong Metallurgical Technology Center (Limited Partnership) 0.7881%",state-owned,Shandong,China,Eastern Asia,operating,8500,8100,integrated_BF,"BF, BOF","https://www.gem.wiki/Shandong_IRON%26STEEL_Group_Rizhao_Co.,_Ltd._plant",35.188969,119.383723
"Liuzhou Iron & Steel Co., LTD (Fangchenggang Iron and Steel Base ）",柳州钢铁股份有限公司（防城港钢铁基地）,Guangxi Liuzhou Iron and Steel GROUP Company Limited,Guangxi Liuzhou Iron and Steel GROUP Company Limited74.57%，wang wenhui 7.94%，other Individual shareholders 17.49%,state-owned,Guangxi,China,Eastern Asia,operating,14700,10680,integrated_BF,"BF, BOF","https://www.gem.wiki/Liuzhou_Iron_%26_Steel_Co.,_Ltd.(Fangchenggang_Iron_and_Steel_Base%EF%BC%89plant",21.592965,108.395805
"Liu'an Steel Holdings Co., Ltd（phase 1)",六安钢铁控股集团有限公司(一期）,"China Construction Rongdong Investment Holdings Co., Ltd.","China Construction Rongdong Investment Holdings Co., Ltd.",private,Anhui,China,Eastern Asia,operating,3000,2942.24,integrated_BF,"BF, BOF","https://www.gem.wiki/Liu%27an_Steel_Holdings_Co.,_Ltd._plant",32.329171,115.954963
"Fujian Dingsheng Iron and Steel Co., Ltd",福建鼎盛钢铁有限公司,"Linyiwu 36%, lijingzhong 32%, lisheng 16%, lishuang 16%","Linyiwu 36%, lijingzhong 32%, lisheng 16%, lishuang 16%",private,Fujian,China,Eastern Asia,construction,1725,1280.32,integrated_BF,"BF, EAF","https://www.gem.wiki/Fujian_Dingsheng_Iron_and_Steel_Co.,_Ltd._plant",27.224477,120.328828
"Hbis Laoting Steel Co., Ltd.",河钢乐亭钢铁有限公司,"Hbis Group Co., Ltd. 100%",HBIS Company Limited 100%,state-owned,Hebei,China,Eastern Asia,operating,7470,7320,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Hbis_Laoting_Steel_Co.,_Ltd._plant",39.257823,119.033567
"Shanxi Jinnan Iron and Steel Group Co., Ltd.",山西晋南钢铁集团有限公司,"Shanghai Kunhong Investment Holdings Co., Ltd.100%(Liujunyi 70%,Maochaoyang 30%)","Shanxi Liheng Iron and Steel Group Co., Ltd. 71.5%, Xiangfen County Xingyuan Iron and Steel Group Co., Ltd. 28.5%",private,Shanxi,China,Eastern Asia,operating,7000,500,integrated_BF,"BF, BOF","https://www.gem.wiki/Shanxi_Jinnan_Iron_and_Steel_Group_Co.,_Ltd._plant",35.678541,111.51465
"Chongqing Zuhang Iron & Steel Co., Ltd",重庆足航钢铁有限公司,"Wu Yongcai 50%, Qiu Xianbiao 30%, Wu Caixia 20%","Wu Yongcai 50%, Qiu Xianbiao 30%, Wu Caixia 20%",private,Chongqing,China,Eastern Asia,operating,1010,unknown,electric,EAF,"https://www.gem.wiki/Chongqing_Zuhang_Iron_%26_Steel_Co.,_Ltd._plant",29.440056,105.741929
"Hubei Jinshenglan Metallurgical Technology Co., Ltd.",湖北金盛兰冶金科技有限公司,"Chen Longguan 55%, Chen Bin 35%, Wang Yongpeng 10%","Chen Longguan 55%, Chen Bin 35%, Wang Yongpeng 10%",private,Hubei,China,Eastern Asia,operating,3250,3000,integrated_BF,"BF, BOF","https://www.gem.wiki/Hubei_Jinshenglan_Metallurgical_Technology_Co.,_Ltd._plant",29.916729,113.822921
"Guangdong Jinshenglan Metallurgical Technology Co., Ltd.",广东金晟兰冶金科技有限公司,"Xie Qingmin 75%, Wang Jinxin 10%, Chen Jiawu 10%, Feng Wenrong 10%","Xie Qingmin 75%, Wang Jinxin 10%, Chen Jiawu 10%, Feng Wenrong 10%",private,Guangdong,China,Eastern Asia,construction,1200,unknown,electric,EAF,"https://www.gem.wiki/Guangdong_Jinshenglan_Metallurgical_Technology_Co.,_Ltd._plant",22.895437,112.25111
"Sichuan Shengquan Iron and Steel Group Co., Ltd.",四川盛泉钢铁集团有限公司,"Lin Yenan 25%, Chen Caicheng 25%, Wang Qingliang 25%, Chen Hao 25%","Lin Yenan 25%, Chen Caicheng 25%, Wang Qingliang 25%, Chen Hao 25%",private,Sichuan,China,Eastern Asia,proposed,1500,unknown,electric,EAF,"https://www.gem.wiki/Sichuan_Shengquan_Iron_and_Steel_Group_Co.,_Ltd._plant",31.299706,104.226175
"Yunnan Yuxi Xianfu Iron & Steel (Group) Co., Ltd.",云南玉溪仙福钢铁（集团）有限公司,"Li Zhiguan 30.79%, Li occurrence 26.13%, Li Mingxian 18.72%, Li Mingpao 18.5%, Wang Chuantai 5.86%","Li Zhiguan 30.79%, Li occurrence 26.13%, Li Mingxian 18.72%, Li Mingpao 18.5%, Wang Chuantai 5.86%",private,Yunnan,China,Eastern Asia,construction,2980,2440,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Yunnan_Yuxi_Xianfu_Iron_%26_Steel_(Group)_Co.,_Ltd._plant",24.012309,102.186364
"Shijiazhuang Iron and Steel Co., Ltd. (Special Steel Branch )",石家庄钢铁有限责任公司特殊钢分公司,"Hesteel Group Co., Ltd. 75%, Hegang International Holdings Co., Ltd. 25%","Hesteel Group Co., Ltd. 75%, Hegang International Holdings Co., Ltd. 25%",mixture,Hebei,China,Eastern Asia,operating,2000,unknown,electric,EAF,"https://www.gem.wiki/Shijiazhuang_Iron_and_Steel_Co.,_Ltd.(Special_steel_branch)_plant",38.068742,114.045193
"Hebei Huaxi Special Steel Co., Ltd.",河北华西特种钢铁有限公司,"Jiangsu Huaxi Group Co., Ltd. 43.88%, Wuxi Financial Investment Co., Ltd. 43%, Luannan Xinggang Iron and Steel Co., Ltd. 13.12%","Hebei Huaxi Iron and Steel Co., Ltd. 100%",mixture,Hebei,China,Eastern Asia,construction,1700,1760,integrated_BF,"BF, BOF","https://www.gem.wiki/Hebei_Huaxi_Special_Steel_Co.,_Ltd._plant",39.263172,119.011489
"Hebei Tianzhu Iron and Steel Group Special Steel Co., Ltd.",河北天柱钢铁集团特钢有限公司,"Hebei Tianzhu Iron and Steel Group Co., Ltd. 100%: Meng Lanzhi 60%, Wang Yiqian 20%, Wang Shuchuan 20%","Hebei Tianzhu Iron and Steel Group Co., Ltd. 100%",private,Hebei,China,Eastern Asia,construction,2800,3000,integrated_BF,"BF, BOF","https://www.gem.wiki/Hebei_Tianzhu_Iron_and_Steel_Group_Special_Steel_Co.,_Ltd._plant",39.273077,119.00394
"Hebei Taihang Iron and Steel Group Co., Ltd.",河北太行钢铁集团有限公司,"Yao Mingxi 65%, Zhang Lei 35%","Yao Mingxi 65%, Zhang Lei 35%",private,Hebei,China,Eastern Asia,construction,2800,2680,integrated_BF,"BF, BOF","https://www.gem.wiki/Hebei_Taihang_Iron_and_Steel_Group_Co.,_Ltd._plant",36.613716,114.082349
"Hesteel Group Handan Iron and Steel Co., Ltd.(She County)",河钢集团邯郸钢铁集团有限公司(涉县）,"Hesteel Group Co., Ltd. 100%","Hesteel Group Co., Ltd. 100%",state-owned,Hebei,China,Eastern Asia,construction,4700,5650,integrated_BF,"BF, BOF","https://www.gem.wiki/Hesteel_Group_Handan_Iron_and_Steel_Co.,_Ltd.%EF%BC%88She_County)_plant",36.689962,113.844791
"Chifeng Zhongtang Special Steel Co., Ltd.",赤峰中唐特钢有限公司,"Ma Dehao 60%, Ma Dehong 40%","Ma Dehao 60%, Ma Dehong 40%",private,Inner Mongolia,China,Eastern Asia,construction,2700,2740,integrated_BF,"BF, BOF","https://www.gem.wiki/Chifeng_Zhongtang_Special_Steel_Co.,_Ltd._plant",41.793059,119.2475
"Hebei Tangyin Iron and Steel Co., Ltd.（Caofeidian)",河北唐银钢铁有限公司（曹妃甸）,"Hesteel Group Company Limited 47.42%, Hebei Yinshui Industrial Group Co., Ltd. 49%, China Baowu Iron and Steel Group Co., Ltd. 3.51%, Zhoushan State-owned Assets Investment and Management Co., Ltd. 0.07%","Tangshan Iron and Steel Group Co., Ltd. 51%, Hebei Yinshui Industry Group Co., Ltd. 49%",mixture,Hebei,China,Eastern Asia,proposed,2300,2660,integrated_BF,"BF, BOF","https://www.gem.wiki/Hebei_Tangyin_Iron_and_Steel_Co.,_Ltd.(Caofeidian)_plant",39.171043,118.434446
"Chengdu Changfeng Iron and Steel Group Co., Ltd.",成都市长峰钢铁集团有限公司,"Chen Xiangguan 38.86%, Chen Xiangfu 34.41%, and other individuals 26.73%","Chen Xiangguan 38.86%, Chen Xiangfu 34.41%, and other individuals 26.73%",private,Sichuan,China,Eastern Asia,construction,1500,N/A,electric,EAF,"https://www.gem.wiki/Chengdu_Changfeng_Iron_and_Steel_Group_Co.,_Ltd._plant",31.031921,103.672956
"Linyi Iron and Steel Investment Group Special Steel Co., Ltd.",临沂钢铁投资集团特钢有限公司,"Linyi Investment Development Group Co., Ltd. 75%, Junan County Investment Management Co., Ltd. 25%","Linyi Steel Investment Group Co., Ltd. 80%, Lingang United Steel Co., Ltd. 20%",state-owned,Shandong,China,Eastern Asia,construction,2700,2310,integrated_BF,"BF, BOF","https://www.gem.wiki/Linyi_Iron_and_Steel_Investment_Group_Special_Steel_Co.,_Ltd._plant",35.15735,119.133999
"Henan Angang Zhoukou Iron and Steel Co., Ltd.",河南安钢周口钢铁有限责任公司,"Anyang Iron and Steel Group Co., Ltd. 66.78%, other units and individuals 33.22%","Anyang Iron and Steel Co., Ltd. 76.9231%, Zhoukou City Industrial Cluster Development and Investment Co., Ltd. 11.5385%, Zhoukou City Investment Group Co., Ltd. 7.6923%, Shenqiu State-owned Investment Group Co., Ltd. 3.8462%",mixture,Henan,China,Eastern Asia,construction,1750,1580,integrated_BF,"BF, BOF","https://www.gem.wiki/Henan_Angang_Zhoukou_Iron_and_Steel_Co.,_Ltd._plant",33.366955,115.099117
"Zenith Steel Group ( Nantong) Co., Ltd.",中天钢铁集团（南通）有限公司,"Zenith Steel Group Co., Ltd. 100%: Dong Caiping 57.2%, other shareholders 42.8%","Zenith Steel Group Co., Ltd. 100%",private,Jiangsu,China,Eastern Asia,construction,5850,6040,integrated_BF,"BF, BOF","https://www.gem.wiki/Zenith_Steel_Group%EF%BC%88Nantong)_Co.,_Ltd._plant",32.133954,121.513173
"Liaoyang United Steel Co., Ltd.",辽阳联合钢铁有限公司,"Guan Hui 70%, Liaoning Qiandu Industrial Development Group Co., Ltd. 30%","Guan Hui 70%, Liaoning Qiandu Industrial Development Group Co., Ltd. 30%",private,Liaoning,China,Eastern Asia,proposed,2300,2260,integrated_BF,"BF, BOF","https://www.gem.wiki/Liaoyang_United_Steel_Co.,_Ltd._plant",41.19138,122.877311
"Dazhou Hangda Steel Co., Ltd.",四川德润钢铁集团航达钢铁有限责任公司,"Sichuan Derun Iron and Steel Group Co., Ltd.","Sichuan Derun Iron and Steel Group Co., Ltd. 51%, Chen Xian 34.30%, Chen Xinyi 7.35%, Zhou Zuo 7.35%",private,Sichuan,China,Eastern Asia,proposed,1000,unknown,electric,EAF,"https://www.gem.wiki/Dazhou_Hangda_Steel_Co.,_Ltd._plant",31.212665,107.421026
"Luzhou Xinyang Vanadium Titanium Steel Co., Ltd.",泸州鑫阳钒钛钢铁有限公司,"Luzhou Chengkun Industry (Group) Co., Ltd.","Luzhou Yixin Iron and Steel Co., Ltd. 70%, Sichuan Luzhou Yangjiang Iron and Steel Co., Ltd. 30%",private,Sichuan,China,Eastern Asia,proposed,2000,unknown,electric,EAF,"https://www.gem.wiki/Luzhou_Xinyang_Vanadium_Titanium_Steel_Co.,_Ltd._plant",28.851779,105.70509
"Baosteel Desheng Stainless Steel Co., Ltd.",宝钢德盛不锈钢有限公司,Fujian State Council Assets Supervision and Administration Commission 100%,"China Baowu Iron and Steel Group Co., Ltd. 70%, Fujian Wugang Group Co., Ltd. 30%",mixture,Fujian,China,Eastern Asia,construction,3220,2241,integrated_BF,"BF, BOF","https://www.gem.wiki/Baosteel_Desheng_Stainless_Steel_Co.,_Ltd._plant",26.48747,119.654461
"Shandong Iron and Steel Co., Ltd. Laiwu Branch",山东钢铁股份有限公司莱芜分公司,"handong Provincial State-owned Assets Supervision and Administration Commission 90%, Shandong Provincial Social Security Fund Council 10%","Jinan Iron and Steel Group Co., Ltd. 30.26%, Laiwu Iron and Steel Group Co., Ltd. 18.24%, Shandong Finance Investment Group Co., Ltd. 2.58%, Shandong Province Iron and Steel Group Co., Ltd. 47.3162%, other individuals 1.6038%",state-owned,Shandong,China,Eastern Asia,construction,6150,6080,integrated_BF,"BF, BOF","https://www.gem.wiki/Shandong_Iron_and_Steel_Co.,_Ltd._Laiwu_Branch_plant",36.059803,117.83159
TZMS Třinecké železárny steel plant,,TZ-MS Group,Třinecké železárny (TŽ),private,Moravia-Silesia,Czech Republic,Eastern Europe,operating,2600,2100,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/TZMS_T%C5%99ineck%C3%A9_%C5%BEelez%C3%A1rny_steel_plant,49.689053,18.654557
GFG Liberty Ostrava steel plant,,GFG Alliance,Liberty Steel,private,Moravia-Silesia,Czech Republic,Eastern Europe,operating,3600,3000,integrated_BF,"BF, BOF",https://www.gem.wiki/GFG_Liberty_Ostrava_steel_plant,49.792139,18.309875
ThyssenKrupp Steel Duisburg steel plant,,ThyssenKrupp Group,Thyssenkrupp Steel Europe AG,private,North Rhine-Westphalia,Germany,Western Europe,operating,12000,12000,integrated_BF,"BF, BOF",https://www.gem.wiki/ThyssenKrupp_Duisburg_steel_plant,51.491649,6.733051
